animal,Treatment,Genotype,Subtype
Animal01,nr4a-wt1,WT,NA
Animal02,nr4a-wt2,WT,NA
Animal03,nr4a-wt3,WT,NA
Animal04,nr4a-wt4,WT,NA
Animal05,nr4a-wt5,WT,NA
Animal06,nr4a-wt6,WT,NA
Animal07,nr4a-wt7,WT,NA
Animal08,nr4a-wt8,WT,NA
Animal09,nr4a-wt9,WT,NA
Animal10,nr4a-wt10,WT,NA
Animal11,nr4a-wt11,WT,NA
Animal12,nr4a-wt12,WT,NA
Animal13,nr4a-wt13,WT,NA
Animal14,nr4a-wt14,WT,NA
Animal15,nr4a-wt15,WT,NA
Animal16,nr4a-wt16,WT,NA
Animal17,nr4a-wt17,WT,NA
Animal18,nr4a-wt18,WT,NA
Animal19,nr4a-wt19,WT,NA
Animal20,nr4a-wt20,WT,NA
Animal21,nr4a-wt21,WT,NA
Animal22,nr4a-wt22,WT,NA
Animal23,nr4a-wt23,WT,NA
Animal24,nr4a-wt24,WT,NA
Animal25,nr4a-ko1,KO,A
Animal26,nr4a-ko2,KO,A
Animal27,nr4a-ko3,KO,A
Animal28,nr4a-ko4,KO,A
Animal29,nr4a-ko5,KO,A
Animal30,nr4a-ko6,KO,A
Animal31,nr4a-ko7,KO,A
Animal32,nr4a-ko8,KO,A
Animal33,nr4a-ko9,KO,A
Animal34,nr4a-ko10,KO,A
Animal35,nr4a-ko11,KO,A
Animal36,nr4a-ko12,KO,A
Animal37,nr4a-ko13,KO,A
Animal38,nr4a-ko14,KO,A
Animal39,nr4a-ko15,KO,A
Animal40,nr4a-ko16,KO,A
Animal41,nr4a-ko17,KO,A
Animal42,nr4a-ko18,KO,A
Animal43,nr4a-ko19,KO,A
Animal44,nr4a-ko20,KO,A
Animal45,nr4a-ko21,KO,A
Animal46,nr4a-ko22,KO,A
Animal47,nr4a-ko23,KO,A
Animal48,nr4a-ko24,KO,A
Animal49,nr4b-wt1,WT,NA
Animal50,nr4b-wt2,WT,NA
Animal51,nr4b-wt3,WT,NA
Animal52,nr4b-wt4,WT,NA
Animal53,nr4b-wt5,WT,NA
Animal54,nr4b-wt6,WT,NA
Animal55,nr4b-wt7,WT,NA
Animal56,nr4b-wt8,WT,NA
Animal57,nr4b-wt9,WT,NA
Animal58,nr4b-wt10,WT,NA
Animal59,nr4b-wt11,WT,NA
Animal60,nr4b-wt12,WT,NA
Animal61,nr4b-wt13,WT,NA
Animal62,nr4b-wt14,WT,NA
Animal63,nr4b-wt15,WT,NA
Animal64,nr4b-wt16,WT,NA
Animal65,nr4b-wt17,WT,NA
Animal66,nr4b-wt18,WT,NA
Animal67,nr4b-wt19,WT,NA
Animal68,nr4b-wt20,WT,NA
Animal69,nr4b-wt21,WT,NA
Animal70,nr4b-wt22,WT,NA
Animal71,nr4b-wt23,WT,NA
Animal72,nr4b-wt24,WT,NA
Animal73,nr4b-ko1,KO,B
Animal74,nr4b-ko2,KO,B
Animal75,nr4b-ko3,KO,B
Animal76,nr4b-ko4,KO,B
Animal77,nr4b-ko5,KO,B
Animal78,nr4b-ko6,KO,B
Animal79,nr4b-ko7,KO,B
Animal80,nr4b-ko8,KO,B
Animal81,nr4b-ko9,KO,B
Animal82,nr4b-ko10,KO,B
Animal83,nr4b-ko11,KO,B
Animal84,nr4b-ko12,KO,B
Animal85,nr4b-ko13,KO,B
Animal86,nr4b-ko14,KO,B
Animal87,nr4b-ko15,KO,B
Animal88,nr4b-ko16,KO,B
Animal89,nr4b-ko17,KO,B
Animal90,nr4b-ko18,KO,B
Animal91,nr4b-ko19,KO,B
Animal92,nr4b-ko20,KO,B
Animal93,nr4b-ko21,KO,B
Animal94,nr4b-ko22,KO,B
Animal95,nr4b-ko23,KO,B
Animal96,nr4b-ko24,KO,B
